address1,address2,city,country,email,id,latitude,longitude,name,phone,state,zip
44 Village St.,,Marblehead,US,BubbeG55@aol.com,MA18,42.498000000000005,-70.8646,Friends of Marblehead's Abandoned Animals,(781) 631-8664 ,MA,1945
,,Marblehead,US,jean@bigfluffydogs.com,MA370,42.498000000000005,-70.8646,Big Fluffy Dog Rescue,,MA,1945
94 Silk Farm Road,,Concord,US,info@popememorialspca.org,NH09,43.2153,-71.53399999999999,Pope Memorial SPCA of Concord Merrimack County,603-856-8756 ,NH,3301
951 Broadway Street,,Lowell,US,crystal@lowellhumanesociety.org,MA106,42.6485,-71.3347,Lowell Humane Society,(978) 452-7781,MA,1854
24 Mary Jane Road,,Franklin,US,juliescbr@gmail.com,MA74,42.4886,-70.964,Second Chance Boxer Rescue Inc.,(877) 281-3146,MA,1904
,,Goffstown,US,granitestatepawadoptions@gmail.com,NH155,43.0126,-71.5879,Granite State Paw Rescuers,(603) 660-8468,NH,3045
411 Lowell Street,,Wakefield,US,pawswakefield@outlook.com,MA142,42.5005,-71.0713,PAWS,551-800-7297,MA,1880
PO Box 638,,Tyngsboro,US,info@kittyangels.org,MA33,42.6711,-71.415,Kitty Angels,(978) 649-4681,MA,1879
,,Nashua,US,info@peisandstrays.com,NH89,42.7689,-71.5135,Peis and Strays,,NH,3063
P.O. Box 141,,North Billerica,US,adoptions@billericacatcarecoalition.org,MA284,42.5744,-71.289,Billerica Cat Care Coalition,,MA,1862
,,Buxton,US,fert_resq@yahoo.com,ME54,43.6643,-70.6035,Ferret Rescue of Maine,207-727-6905,ME,4093
,,Limerick,US,nelr@newenglandlabrescue.com,ME125,43.6875,-70.7946,"New England Lab Rescue, Inc.",,ME,4048
336 Gorham Road,,Scarborough,US,tendertouchveterinary@yahoo.com,ME106,43.6066,-70.3491,Tender Touch Rescue,207-839-7456  ,ME,4074
PO Box 760668,,Melrose,US,brian.aurilio@gmail.com,MA393,42.4567,-71.0629,Melrose Humane Society,,MA,2176
P.O. Box 3127,01888-2027,Woburn,US,woburncats@gmail.com,MA343,42.4804,-71.1514,Woburn Feral Cat Coalition,,MA,1888
P.O. Box 2602,,Woburn,US,info@rabbitnetwork.org,MA40,42.4804,-71.1514,House Rabbit Network,(781) 431-1211,MA,1888
P.O. Box 210,,Nahant,US,adopt@germanshepherdcenter.org,MA447,42.4262,-70.9264,"German Shepherd Resource and Rescue Center, Inc.",adopt@germanshepherdcenter.org,MA,1908
P.O. Box 65,www.lhsk9.org,Canterbury,US,lhsk9@comcast.net,NH33,43.3421,-71.5815,Libby's Haven for Senior Canines,603) 783-9416  ,NH,3224
PO Box 7193,,Gilford,US,barepawsrescue@yahoo.com,NH111,43.5475,-71.4072,Bare Paws Rescue,,NH,3247
11 Old Route 28,,Ossipee,US,mfichter@lrhs.net,NH14,43.68600000000001,-71.1169,Lakes Region Humane Society,603-539-1077 ,NH,3864
,,Westford,US,,MA01,42.5831,-71.4399,North East Rottweiler Rescue,866-392-0102,MA,1886
P.O. Box 112,,Westford,US,info@forgottenangelsshelter.org,MA320,42.5831,-71.4399,"Forgotten Angels Shelter, Inc.",,MA,1886
33 Village View Road,,Westford,US,furrytails913@yahoo.com,MA377,42.5831,-71.4399,Furry Tails Cat Shelter,(978) 692-4839,MA,1886
,,Concord,US,pf@siameserescue.org,NH39,42.8312,-71.6561,Siamese Cat Rescue Center,,NH,3055
,,Milford,US,satoheartadoptions@gmail.com,NH99,42.8312,-71.6561,"Sato Heart Rescue, Wilton,NH",603-265-0303,NH,3055
PO Box 653,,Gorham,US,contactus@thepixelfund.org,ME127,43.6918,-70.4442,The Pixel Fund,,ME,4038
6 Cudworth St,,Medford,US,kc@kittyconnection.net,MA373,42.4189,-71.1096,Kitty Connection Inc,781-393-9995  ,MA,2155
,,New Boston,US,ross@caninecommit.org,NH119,42.9771,-71.7097,Canine Commitment NH,,NH,3070
,,South Portland,US,helpingpawsme@gmail.com,ME137,43.6326,-70.2713,Helping Paws,,ME,4106
,,South Portland,US,pittieposse@gmail.com,ME159,43.6326,-70.2713,Pittie Posse Rescue and Sanctuary,,ME,4106
PO Box 23,,Westbrook,US,fetchinghoperescue@gmail.com,ME130,43.6769,-70.3717,Fetching Hope Rescue,,ME,4098
P.O. Box 326,,Lexington,US,necoonhoundrescue@gmail.com,MA424,42.4457,-71.2314,Northeast Coonhound Rescue,,MA,2420
,,Westbrook,US,stephanie@mttom.com,ME107,43.6819,-70.3574,Yankee Chihuahua Rescue and Adopt,(207) 615-2299,ME,4092
25 WOODCHUCK LN,,Westbrook,US,impsnewengland@gmail.com,ME19,43.6819,-70.3574,"IMPS - Internet Miniature Pinscher Service, Inc.",781-837-1509,ME,4092
,,Arlington,US,whiskersofhope@gmail.com,MA293,42.4186,-71.1643,"Whiskers of Hope, Inc.",(781) 648-4095,MA,2474
P.O. Box 520136,,Winthrop,US,masspaws@aol.com,MA292,42.3746,-70.9825,MassPAWS,(617) 846-5586    ,MA,2152
,,Hopkinton,US,kasthillfarm@gmail.com,NH157,43.2143,-71.7175,Kast Hill Farm,603-475-7555,NH,3229
66 Caleb Street,,Portland,US,mainesheltierescue@gmail.com,ME80,43.6615,-70.294,Maine Sheltie Rescue,(207) 773-6677,ME,4102
,,Somerville,US,Application_Screeners@yahoogroups.com,MA09,42.3893,-71.0915,Happy Tails Pet Rescue,(603) 595-7387,MA,2145
,,Somerville,US,susanna@blackcatrescue.com,MA378,42.3893,-71.0915,Black Cat Rescue,,MA,2145
PO Box 572,,Weare,US,wearewag@gsinet.net,NH42,43.0452,-71.7475,WAG - We Are Animal Guardians,603-529-5443  ,NH,3281
PO Box 11424,,Portland,US,info@friendsofwillow.org,ME139,43.6614,-70.2558,Friends of Willow,,ME,4104
,,Boston,US,adoptions@lasthopek9.org,MA484,42.3664,-71.0557,Last Hope K9 Rescue,,MA,2113
,,Portland,US,Thistle88@centurytel.net,ME114,43.68899999999999,-70.2852,Thistle Hill,,ME,4103
,,Portland,US,info@buddyupanimalsociety.org,ME126,43.68899999999999,-70.2852,Buddy Up Animal Society,,ME,4103
,,Portland,US,info@thegreenark.me,ME146,43.68899999999999,-70.2852,The Green Ark,,ME,4103
19 Rescue Road,(formerly 71 Punch Brook Rd),Franklin,US,manager_fas@yahoo.com,NH52,43.4419,-71.6418,Franklin Animal Shelter,(603) 934-4132,NH,3235
10 Chandler Street,,Boston,US,adoption@arlboston.org,MA13,42.3492,-71.0739,Animal Rescue League of Boston,617-426-9170,MA,2116
P.O. Box 541435,,Waltham,US,info@thecatconnection.org,MA190,42.3878,-71.2422,The Cat Connection,(781) 899-4610,MA,2453
,,Boston,US,giffordcats@giffordcatshelter.org,MA44,42.3507,-71.1539,Ellen M. Gifford Sheltering Home,617-787-8872  ,MA,2135
,,Boxborough,US,cavalieralliance2014@gmail.com,MA501,42.4861,-71.5125,"Cavalier Alliance for Rescue, Research, and Education, Inc.",(978) 254-1005,MA,1719
350 South Huntington Avenue,,Boston,US,adoption@mspca.org,MA38,42.3111,-71.1124,MSPCA Boston Animal Care and Adoption Center,617-522-5055,MA,2130
,,Jamaica Plain,US,sheerak@verizon.net,MA77,42.3111,-71.1124,Second Chance Shelter for Cats,(617) 522-1852,MA,2130
,,Falmouth,US,riopuppy3@gmail.com,ME77,43.7523,-70.2772,Paws and Claws New England,,ME,4105
,,Falmouth,US,mrr.adopt@gmail.com,ME87,43.7523,-70.2772,Mainely Rat Rescue,,ME,4105
PO Box 107,,Hillsboro,US,FortheLoveofDog@tds.net,NH74,43.0839,-71.8609,For The Love of Dog,Please EMAIL US,NH,3244
487 Nantasket Avenue,,Hull,US,jjfahey@verizon.net,MA137,42.2645,-70.8621,Hull Seaside Animal Rescue,(781) 534-4902,MA,2045
,,Hull,US,adoptions@survivortails.org,MA487,42.2645,-70.8621,Survivor Tails Animal Rescue,,MA,2045
PO Box 162,,Greenfield,US,artonpark@aol.com,NH01,42.9503,-71.8764,Cocker Spaniel Rescue of New England,603-547-3363 ,NH,3047
26 Mahler Rd,,Boston,US,animaladopt@boston.gov,MA94,42.2844,-71.1293,City of Boston Animal Shelter,617-635-1800,MA,2131
,,Roslindale,US,catadoptions@bostonsforgottenfelines.org,MA506,42.2844,-71.1293,Boston's Forgotten Felines,617-410-6495,MA,2131
No PO Box,,Quincy,US,denise@eskiesonline.com,MA161,42.2507,-71.0018,Eskies Online American Eskimo Dog Rescue,860-908-9738,MA,2169
56 Broad Street,,Quincy,US,adoptions@quincyanimalshelter.org,MA54,42.2507,-71.0018,Quincy Animal Shelter,617-376-1349,MA,2169
604 Boston Post Road,,Sudbury,US,inquiries@saveadog.org,MA04,42.3835,-71.4286,Save A Dog,978-443-7282   ,MA,1776
PO Box 5533,,Wayland,US,guardianangelscatrescue@gmail.com,MA385,42.3455,-71.3599,"Guardian Angels Cat Rescue, Inc.",781-237-8405 ,MA,1778
P.O. Box 299,,Wayland,US,adoptinfo@gsrne.org,MA45,42.3455,-71.3599,"German Shepherd Rescue of New England, Inc.",,MA,1778
Worcester St.,,Wellesley,US,tiwat@aol.com,MA14,42.308,-71.2854,Stray Pets In Need of MA inc. (SPIN),(781) 235-1218,MA,2181
PO Box 142,,Lunenburg,US,pbs@catsontheweb.org,MA11,42.585,-71.7292,The Pat Brody Shelter for Cats,www.catsontheweb.org,MA,1462
P.O. Box 351,,Cumberland,US,info@hartofme.com,ME26,43.8104,-70.2567,Homeless Animal Rescue Team (HART),207-829-4116 ,ME,4021
780 Chief Justice Cushing Highway,,Scituate,US,,MA85,42.2046,-70.7513,Scituate Animal Shelter,(781) 544-4533 ext. 301,MA,2066
,,Dedham,US,adopt@sghrescue.org,MA432,42.2438,-71.1654,Shultz's Guest House,(781) 690-5610,MA,2026
PO Box 850177,,Braintree,US,MassHumane@aol.com,MA275,42.21,-70.99,Massachusetts Humane Society Inc.,(781) 335-1300,MA,2185
P.O.Box 850187,,Braintree,US,maryconnolly.sshs@comcast.net,MA317,42.21,-70.99,South Shore Humane Society,(781) 843-5838,MA,2185
P.O. Box 850138,,Braintree,US,vickie@rescueangels.org,MA390,42.2102,-70.9999,"Rescue Angels, Inc.",781-799-5553 ,MA,2184
PO Box 1058,,Yarmouth,US,woof@olddogsnewdigs.com,ME152,43.8116,-70.2012,Old Dogs New Digs,,ME,4096
P.O. Box 2072,,Natick,US,info@alldogrescue.org,MA219,42.2906,-71.35300000000001,"All Dog Rescue, Inc.",617-507-9193,MA,1760
,,Hudson,US,adoptacat@carmah.org,MA208,42.3911,-71.5588,CaRMaH (Cat Rescue of Marlborough and Hudson),(508)460-2022  ,MA,1749
,,Framingham,US,info@pittieloverescue.org,MA272,42.3025,-71.4236,PittieLove Rescue Inc.,,MA,1701
,,Randolph,US,hilltophumane@gmail.com,MA138,42.1732,-71.0494,Hilltop Humane Society,7819613638,MA,2368
,,Randolph,US,merylwright@aol.com,MA513,42.1732,-71.0494,Paws4Survival Rescue Inc.,,MA,2368
,,Framingham,US,fortheloveofgsd@gmail.com,MA494,42.28,-71.4164,Wildheart Canine Rescue,,MA,1702
,,Norwood,US,nvhumanesociety@gmail.com,MA104,42.1867,-71.2027,Neponset Valley Humane Society,781-769-1990,MA,2062
,,Holbrook,US,masshumane@aol.com,MA458,42.1472,-71.0112,Bessy's Place Cat Sanctuary & Cat Adoption,(781) 335-1300,MA,2343
,,Canton,US,sknoll2@verizon.net,MA454,42.1658,-71.1344,"CAT CANTON RESCUE, Inc.",(781) 828-8117,MA,2021
81 Pleasant Hill Road,,Freeport,US,info@talltailsbeaglerescue.org,ME53,43.8512,-70.1207,Tall Tails Beagle Rescue,(207) 797-5392,ME,4032
,,Freeport,US,maureen@journeyhomedogrescue.org,ME78,43.8512,-70.1207,Journey Home Dog Rescue,,ME,4032
25 Woodchuck Lane,"Marshfield , Ma. 02050",Marshfield,US,impsnewengland@gmail.com,MA358,42.107,-70.6953,"IMPS - Internet Miniature Pinscher Service, Inc. - New England region",(781) 837-1509,MA,2050
,,Avon,US,martyscatrescue@gmail.com,MA495,42.1245,-71.0452,Marty's Cat Rescue,508-559-0765   ,MA,2322
,,Medfield,US,foreverhomerescue@gmail.com,MA368,42.1816,-71.3036,Forever Home Rescue New England,508-359-4465 ,MA,2052
101 Old Bridge Street,,Medfield,US,info@medfieldshelter.com,MA57,42.1816,-71.3036,A Medfield Animal Shelter,(508) 359-8989,MA,2052
"P.O. Box 468, Jaffrey, NH 03452",,Jaffrey,US,,NH68,42.8312,-72.0674,Monadnock Kitty Rescue and Adoption,603-532-9444 ,NH,3452
,,Sterling,US,staff@sterlingshelter.org,MA131,42.413999999999994,-71.7925,Animal Shelter Inc.,(978) 422-8585,MA,1564
,,Sterling,US,tweety7437@charter.net,MA86,42.413999999999994,-71.7925,NEADY Cats Inc.,(978) 422-5116,MA,1564
1300 West Elm Street Extension,,Brockton,US,info@apcsm.org,MA409,42.0811,-71.0255,Animal Protection Center of Southeastern MA,508-586-2053,MA,2301
,,Brockton,US,catloversrescue@comcast.net,MA464,42.0811,-71.0255,Cat Lovers Rescue,,MA,2302
500 Legacy Farms North,,Hopkinton,US,adopt@baypathhumane.org,MA141,42.226000000000006,-71.5195,Baypath Humane Society of Hopkinton Inc.,(508) 435-6938,MA,1748
,,Hopkinton,US,browndogcoalitionandrescue@gmail.com,MA515,42.226000000000006,-71.5195,Brown Dog Coalition and Rescue Ltd,,MA,1748
,,Hanson,US,kroycroft8@gmail.com,MA379,42.0605,-70.863,Caribbean Connection Puppy Rescue,,MA,2341
1 George Finch Way,,Pembroke,US,Lulupal@hotmail.com,MA185,42.0552,-70.8094,Town of Pembroke Animal Control,(781) 293-5288,MA,2359
1389 Bridgton Road,,Fryeburg,US,info@harvesthills.org,ME39,44.0544,-70.9417,Harvest Hills Animal Shelter,207-935-4358,ME,4037
PO Box 364,,Stow,US,journeyanimalrescue@gmail.com,ME88,44.0544,-70.9417,The Long Journey to a New Begining Animal Rescue,,ME,4037
899 West Broadway,,Gardner,US,animaladoption@gardner-ma.gov,MA475,42.5668,-71.9839,Gardner Animal Control Facility,(978) 630-4950,MA,1440
878R Tremont St.,,Duxbury,US,susan.j.curtis@comcast.net,MA26,42.0473,-70.7177,Duxbury Animal Control & Shelter,781-934-6424 ,MA,2332
P.O. BOX 634,,Duxbury,US,standishhumane@comcast.net,MA71,42.0417,-70.6728,Standish Humane Society,(781) 834-4663,MA,2331
305 Redemption Rock Trail,,Princeton,US,sberry@neads.org,MA124,42.358999999999995,-71.7915,NEADS,(978) 422-9064,MA,1583
,,Albany,US,connectapetne@gmail.com,NH156,43.9737,-71.3956,Connect A Pet New England,6039972155,NH,3818
,,Brunswick,US,ed@puppyloveme.org,ME119,43.8973,-69.9718,"Puppy Love, Inc.",(207) 833-5199,ME,4011
30 Range Road,,Brunswick,US,info@coastalhumanesociety.org,ME30,43.8973,-69.9718,Coastal Humane Society,(207) 725-5051,ME,4011
PO Box 60296,,Worcester,US,info@brokentailrescue.org,MA427,42.3107,-71.7962,Broken Tail Rescue,(508) 625-0332,MA,1606
139 Holden Street,,Worcester,US,info@worcesterarl.org,MA63,42.3107,-71.7962,Worcester Animal Rescue League,(508) 853-0030,MA,1606
3 Fiske Mill Road,,Milford,US,milfordaco@yahoo.com,MA281,42.1499,-71.5263,Town of Milford Animal Control,508-478-3871,MA,1757
9 Lady Slipper Lane,,Topsham,US,coastaldanes@gmail.com,ME90,43.9371,-69.9656,Coastal Maine Great Dane Rescue,207 729-0679 ,ME,4086
,,Topsham,US,communityspayneuterclinicmaine@gmail.com,ME154,43.9371,-69.9656,Community Spay-Neuter Clinic,207-721-8395,ME,4086
175 Fruit Street,,Mansfield,US,volunteers@mansfieldshelter.org,MA34,42.0234,-71.219,Mansfield Animal Shelter,(508) 261-7339,MA,2048
P.O. Box 1325,,Mansfield,US,thepittiestoprescue@gmail.com,MA507,42.0234,-71.219,"The Pittie Stop Rescue, Inc.",,MA,2048
,,Newport,US,wags.n.wiggles.rescue@gmail.com,NH159,43.3663,-72.2055,Wags and Wiggles Rescue,(603) 843-5319,NH,3773
"Albany, NY 12237",Servicing the North East-Maine to North,Portland,US,info@acdra.org,ME24,44.086999999999996,-70.3186,Australian Cattle Dog Rescue Association,,ME,4258
,,Bridgewater,US,ksautter@gmail.com,MA466,41.9799,-70.9751,"North Atlantic Westie Rescue, Inc.",,MA,2324
,,Templeton,US,Info@AhimsaHaven.org,MA115,42.5209,-72.0712,Ahimsa Haven,,MA,1468
P.O. Box 300,,Templeton,US,blackslate@aol.com,MA325,42.5209,-72.0712,American Bullmastiff Rescue,978 424 1044  ,MA,1468
,,Bath,US,pawinthedoor@gmail.com,ME121,43.9235,-69.8342,A Paw in the Door Cat Rescue,(207) 751-4131,ME,4530
,,Bath,US,soulymainepetsrescue@comcast.net,ME150,43.9235,-69.8342,Souly Maine Pets Rescue,,ME,4530
PO Box 246,,Northbridge,US,willyskittyangelsinfo@gmail.com,MA398,42.161,-71.6736,"Willy's Kitty Angels Rescue, Inc.",(508) 873-0336,MA,1534
PO Box 819,,Northbridge,US,Er2bvcats@gmail.com,MA451,42.161,-71.6736,"BV Cats, Inc.",,MA,1534
,,Bellingham,US,adoptions@rufftalesrescue.org,MA503,42.0679,-71.4791,Ruff Tales Rescue,5086574102,MA,2019
,,Woolwich,US,juliescbr@gmail.com,ME02,43.9185,-69.8025,Second Chance Boxer Rescue - New England,,ME,4579
Sweetpea Animal Shelter & Kennels,1090 Pleasant Street (Route 122),Paxton,US,sweetpeafora@verizon.net,MA140,42.3049,-71.916,Sweetpea Friends of Rutland Animals,(508) 757-7959,MA,1612
14 West Swanzey Road,,Keene,US,sharron_thomas@hotmail.com,NH60,42.8689,-72.3072,Fast Friends Greyhound Adoption Center,(603) 355-1556  ,NH,3469
5 Sandy Hill Lane,P.O. Box 1374,Provincetown,US,casas4rescue@comcast.net,MA369,42.0063,-70.2082,Carrie A. Seaman Animal Shelter dba CASAS,(508) 487-4243,MA,2657
PO Box 2261,,Plainville,US,adoptions@angelcathaven.com,MA335,41.9784,-71.3111,Angelcat Haven,508-203-4240,MA,2762
PO Box 233,,Raynham,US,noahcats@aol.com,MA262,41.9236,-71.0528,"Nemasket Orphaned Animal Haven, Inc.",508-386-3729 ,MA,2768
,,Alstead,US,bonnievendig@yahoo.com,NH133,43.1503,-72.3572,New Hampshire Small Dog Rescue,(787) 808-3523,NH,3602
,,Uxbridge,US,Becca.pawfectlife@gmail.com,MA486,42.0788,-71.6354,Pawfect Life Rescue,,MA,1569
,,Uxbridge,US,whiskersandmittenstnr@gmail.com,MA498,42.0788,-71.6354,Whiskers & Mittens TNR,,MA,1569
,,Uxbridge,US,finefelinecatrescue@gmail.com,MA522,42.0788,-71.6354,Fine Feline Cat Rescue,,MA,1569
,,Winchester,US,info@draftgratitude.com,NH161,42.8084,-72.3372,Draft Gratitude,(603) 762-3266,NH,3470
415 Hunt Road,847 New Braintree Road,Oakham,US,info@baystateequinerescue.com,MA433,42.3483,-72.0453,"Bay State Equine Rescue, Inc.",,MA,1068
,,Carver,US,bjeannekitty@comcast.net,MA380,41.8864,-70.7748,Friends of Carver Animals,(508) 866-6992,MA,2330
2199 State Rd,,Plymouth,US,cthayer@townhall.plymouth.ma.us,MA80,41.8978,-70.5424,Plymouth Animal Shelter Adoptions,508-888-1186,MA,2345
821 W Water St,,Taunton,US,paws4blue@aol.com,MA72,41.9059,-71.1056,Taunton Animal Shelter,(508) 822-1463,MA,2780
14 Tremont Street,,Claremont,US,sullivanhumane@hotmail.com,NH83,43.3696,-72.3441,Sullivan County Humane Society,603-542-3277 ,NH,3743
,,Claremont,US,cathy3sullivan@yahoo.com,NH114,43.3696,-72.3441,Lost my Way Animal Shelter,603-477-1229 ,NH,3743
115 Great Road,,North Smithfield,US,laurasdoxies@gmail.com,RI105,42.0028,-71.5153,Furever Dachshund Rescue,,RI,2896
27 Pond St North,using Mapquest enter  27 Pond St North,Attleboro,US,AttleboroPets@hotmail.com,MA78,41.9304,-71.3049,Friends of Attleboro Animal Shelter,(774) 203-1862,MA,2703
PO Box 283,,Attleboro,US,friendsofcats@yahoo.com,MA98,41.9304,-71.3049,"Attleboro Friends of Cats, Inc.",508-918-2158,MA,2703
,,Attleboro,US,cats@mafiacatgroup.org,MA520,41.9304,-71.3049,Massachusetts Feline Intervention Alliance,,MA,2703
266 Mendon Rd,,Woonsocket,US,gail@repm.com,RI43,41.9939,-71.5169,Woonsocket Cat Sanctuary,1-401-765-4174 ,RI,2895
PO Box 860,,Charlestown,US,rvapl@comcast.net,NH93,43.2385,-72.4242,River Valley Animal Protection League,E mail us ,NH,3603
9 Swallow Road,,Paris,US,responsiblepetcare@yahoo.com,ME44,44.2598,-70.5022,Responsible Pet Care of Oxford Hills,(207) 743-8679,ME,4271
P.O. Box 767,90 Webster St. Rt. 16,Douglas,US,info@dogorphans.com,MA17,42.0628,-71.7525,Dog Orphans Inc.,508 476 1855,MA,1516
